,date,region,new_confirmed,1_day_shift,7_day_avg,2_day_shift,3_day_shift,7_day_shift
1,2020-01-22,East South Central,0.0,,,,,
10,2020-01-23,East South Central,0.0,0.0,,,,
19,2020-01-24,East South Central,0.0,0.0,,0.0,,
28,2020-01-25,East South Central,0.0,0.0,,0.0,0.0,
37,2020-01-26,East South Central,0.0,0.0,,0.0,0.0,
46,2020-01-27,East South Central,0.0,0.0,,0.0,0.0,
55,2020-01-28,East South Central,0.0,0.0,0.0,0.0,0.0,
64,2020-01-29,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
73,2020-01-30,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
82,2020-01-31,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
91,2020-02-01,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
100,2020-02-02,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
109,2020-02-03,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
118,2020-02-04,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
127,2020-02-05,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
136,2020-02-06,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
145,2020-02-07,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
154,2020-02-08,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
163,2020-02-09,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
172,2020-02-10,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
181,2020-02-11,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
190,2020-02-12,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
199,2020-02-13,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
208,2020-02-14,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
217,2020-02-15,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
226,2020-02-16,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
235,2020-02-17,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
244,2020-02-18,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
253,2020-02-19,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
262,2020-02-20,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
271,2020-02-21,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
280,2020-02-22,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
289,2020-02-23,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
298,2020-02-24,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
307,2020-02-25,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
316,2020-02-26,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
325,2020-02-27,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
334,2020-02-28,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
343,2020-02-29,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
352,2020-03-01,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
361,2020-03-02,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
370,2020-03-03,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
379,2020-03-04,East South Central,6.0,0.0,0.8571428571428571,0.0,0.0,0.0
388,2020-03-05,East South Central,2.0,6.0,1.1428571428571428,0.0,0.0,0.0
397,2020-03-06,East South Central,12.0,2.0,2.857142857142857,6.0,0.0,0.0
406,2020-03-07,East South Central,1.0,12.0,3.0,2.0,6.0,0.0
415,2020-03-08,East South Central,2.0,1.0,3.2857142857142856,12.0,2.0,0.0
424,2020-03-09,East South Central,3.0,2.0,3.7142857142857144,1.0,12.0,0.0
433,2020-03-10,East South Central,6.0,3.0,4.571428571428571,2.0,1.0,0.0
442,2020-03-11,East South Central,2.0,6.0,4.0,3.0,2.0,6.0
451,2020-03-12,East South Central,12.0,2.0,5.428571428571429,6.0,3.0,2.0
460,2020-03-13,East South Central,15.0,12.0,5.857142857142857,2.0,6.0,12.0
469,2020-03-14,East South Central,16.0,15.0,8.0,12.0,2.0,1.0
478,2020-03-15,East South Central,19.0,16.0,10.428571428571429,15.0,12.0,2.0
487,2020-03-16,East South Central,36.0,19.0,15.142857142857142,16.0,15.0,3.0
496,2020-03-17,East South Central,39.0,36.0,19.857142857142858,19.0,16.0,6.0
505,2020-03-18,East South Central,52.0,39.0,27.0,36.0,19.0,2.0
514,2020-03-19,East South Central,103.0,52.0,40.0,39.0,36.0,12.0
523,2020-03-20,East South Central,129.0,103.0,56.285714285714285,52.0,39.0,15.0
532,2020-03-21,East South Central,253.0,129.0,90.14285714285714,103.0,52.0,16.0
541,2020-03-22,East South Central,260.0,253.0,124.57142857142857,129.0,103.0,19.0
550,2020-03-23,East South Central,186.0,260.0,146.0,253.0,129.0,36.0
559,2020-03-24,East South Central,191.0,186.0,167.71428571428572,260.0,253.0,39.0
568,2020-03-25,East South Central,275.0,191.0,199.57142857142858,186.0,260.0,52.0
577,2020-03-26,East South Central,545.0,275.0,262.7142857142857,191.0,186.0,103.0
586,2020-03-27,East South Central,471.0,545.0,311.57142857142856,275.0,191.0,129.0
595,2020-03-28,East South Central,417.0,471.0,335.0,545.0,275.0,253.0
604,2020-03-29,East South Central,461.0,417.0,363.7142857142857,471.0,545.0,260.0
613,2020-03-30,East South Central,484.0,461.0,406.2857142857143,417.0,471.0,186.0
622,2020-03-31,East South Central,658.0,484.0,473.0,461.0,417.0,191.0
631,2020-04-01,East South Central,787.0,658.0,546.1428571428571,484.0,461.0,275.0
640,2020-04-02,East South Central,511.0,787.0,541.2857142857143,658.0,484.0,545.0
649,2020-04-03,East South Central,692.0,511.0,572.8571428571429,787.0,658.0,471.0
658,2020-04-04,East South Central,560.0,692.0,593.2857142857143,511.0,787.0,417.0
667,2020-04-05,East South Central,797.0,560.0,641.2857142857143,692.0,511.0,461.0
676,2020-04-06,East South Central,479.0,797.0,640.5714285714286,560.0,692.0,484.0
685,2020-04-07,East South Central,717.0,479.0,649.0,797.0,560.0,658.0
694,2020-04-08,East South Central,703.0,717.0,637.0,479.0,797.0,787.0
703,2020-04-09,East South Central,1126.0,703.0,724.8571428571429,717.0,479.0,511.0
712,2020-04-10,East South Central,983.0,1126.0,766.4285714285714,703.0,717.0,692.0
721,2020-04-11,East South Central,648.0,983.0,779.0,1126.0,703.0,560.0
730,2020-04-12,East South Central,814.0,648.0,781.4285714285714,983.0,1126.0,797.0
739,2020-04-13,East South Central,795.0,814.0,826.5714285714286,648.0,983.0,479.0
748,2020-04-14,East South Central,585.0,795.0,807.7142857142857,814.0,648.0,717.0
757,2020-04-15,East South Central,928.0,585.0,839.8571428571429,795.0,814.0,703.0
766,2020-04-16,East South Central,760.0,928.0,787.5714285714286,585.0,795.0,1126.0
775,2020-04-17,East South Central,819.0,760.0,764.1428571428571,928.0,585.0,983.0
784,2020-04-18,East South Central,572.0,819.0,753.2857142857143,760.0,928.0,648.0
793,2020-04-19,East South Central,975.0,572.0,776.2857142857143,819.0,760.0,814.0
802,2020-04-20,East South Central,847.0,975.0,783.7142857142857,572.0,819.0,795.0
811,2020-04-21,East South Central,656.0,847.0,793.8571428571429,975.0,572.0,585.0
820,2020-04-22,East South Central,1002.0,656.0,804.4285714285714,847.0,975.0,928.0
829,2020-04-23,East South Central,1177.0,1002.0,864.0,656.0,847.0,760.0
838,2020-04-24,East South Central,903.0,1177.0,876.0,1002.0,656.0,819.0
847,2020-04-25,East South Central,1350.0,903.0,987.1428571428571,1177.0,1002.0,572.0
856,2020-04-26,East South Central,930.0,1350.0,980.7142857142857,903.0,1177.0,975.0
865,2020-04-27,East South Central,832.0,930.0,978.5714285714286,1350.0,903.0,847.0
874,2020-04-28,East South Central,642.0,832.0,976.5714285714286,930.0,1350.0,656.0
883,2020-04-29,East South Central,925.0,642.0,965.5714285714286,832.0,930.0,1002.0
892,2020-04-30,East South Central,956.0,925.0,934.0,642.0,832.0,1177.0
901,2020-05-01,East South Central,1861.0,956.0,1070.857142857143,925.0,642.0,903.0
910,2020-05-02,East South Central,1446.0,1861.0,1084.5714285714287,956.0,925.0,1350.0
919,2020-05-03,East South Central,916.0,1446.0,1082.5714285714287,1861.0,956.0,930.0
928,2020-05-04,East South Central,1272.0,916.0,1145.4285714285713,1446.0,1861.0,832.0
937,2020-05-05,East South Central,824.0,1272.0,1171.4285714285713,916.0,1446.0,642.0
946,2020-05-06,East South Central,1338.0,824.0,1230.4285714285713,1272.0,916.0,925.0
955,2020-05-07,East South Central,849.0,1338.0,1215.142857142857,824.0,1272.0,956.0
964,2020-05-08,East South Central,1267.0,849.0,1130.2857142857142,1338.0,824.0,1861.0
973,2020-05-09,East South Central,1120.0,1267.0,1083.7142857142858,849.0,1338.0,1446.0
982,2020-05-10,East South Central,702.0,1120.0,1053.142857142857,1267.0,849.0,916.0
991,2020-05-11,East South Central,964.0,702.0,1009.1428571428571,1120.0,1267.0,1272.0
1000,2020-05-12,East South Central,1339.0,964.0,1082.7142857142858,702.0,1120.0,824.0
1009,2020-05-13,East South Central,924.0,1339.0,1023.5714285714286,964.0,702.0,1338.0
1018,2020-05-14,East South Central,1300.0,924.0,1088.0,1339.0,964.0,849.0
1027,2020-05-15,East South Central,982.0,1300.0,1047.2857142857142,924.0,1339.0,1267.0
1036,2020-05-16,East South Central,1166.0,982.0,1053.857142857143,1300.0,924.0,1120.0
1045,2020-05-17,East South Central,765.0,1166.0,1062.857142857143,982.0,1300.0,702.0
1054,2020-05-18,East South Central,1074.0,765.0,1078.5714285714287,1166.0,982.0,964.0
1063,2020-05-19,East South Central,1310.0,1074.0,1074.4285714285713,765.0,1166.0,1339.0
1072,2020-05-20,East South Central,785.0,1310.0,1054.5714285714287,1074.0,765.0,924.0
1081,2020-05-21,East South Central,1265.0,785.0,1049.5714285714287,1310.0,1074.0,1300.0
1090,2020-05-22,East South Central,1290.0,1265.0,1093.5714285714287,785.0,1310.0,982.0
1099,2020-05-23,East South Central,1291.0,1290.0,1111.4285714285713,1265.0,785.0,1166.0
1108,2020-05-24,East South Central,1137.0,1291.0,1164.5714285714287,1290.0,1265.0,765.0
1117,2020-05-25,East South Central,1071.0,1137.0,1164.142857142857,1291.0,1290.0,1074.0
1126,2020-05-26,East South Central,1297.0,1071.0,1162.2857142857142,1137.0,1291.0,1310.0
1135,2020-05-27,East South Central,1607.0,1297.0,1279.7142857142858,1071.0,1137.0,785.0
1144,2020-05-28,East South Central,1168.0,1607.0,1265.857142857143,1297.0,1071.0,1265.0
1153,2020-05-29,East South Central,1444.0,1168.0,1287.857142857143,1607.0,1297.0,1290.0
1162,2020-05-30,East South Central,1736.0,1444.0,1351.4285714285713,1168.0,1607.0,1291.0
1171,2020-05-31,East South Central,1496.0,1736.0,1402.7142857142858,1444.0,1168.0,1137.0
1180,2020-06-01,East South Central,1601.0,1496.0,1478.4285714285713,1736.0,1444.0,1071.0
1189,2020-06-02,East South Central,1507.0,1601.0,1508.4285714285713,1496.0,1736.0,1297.0
1198,2020-06-03,East South Central,1183.0,1507.0,1447.857142857143,1601.0,1496.0,1607.0
1207,2020-06-04,East South Central,1052.0,1183.0,1431.2857142857142,1507.0,1601.0,1168.0
1216,2020-06-05,East South Central,1186.0,1052.0,1394.4285714285713,1183.0,1507.0,1444.0
1225,2020-06-06,East South Central,1527.0,1186.0,1364.5714285714287,1052.0,1183.0,1736.0
1234,2020-06-07,East South Central,1268.0,1527.0,1332.0,1186.0,1052.0,1496.0
1243,2020-06-08,East South Central,1675.0,1268.0,1342.5714285714287,1527.0,1186.0,1601.0
1252,2020-06-09,East South Central,1360.0,1675.0,1321.5714285714287,1268.0,1527.0,1507.0
1261,2020-06-10,East South Central,1943.0,1360.0,1430.142857142857,1675.0,1268.0,1183.0
1270,2020-06-11,East South Central,1395.0,1943.0,1479.142857142857,1360.0,1675.0,1052.0
1279,2020-06-12,East South Central,2061.0,1395.0,1604.142857142857,1943.0,1360.0,1186.0
1288,2020-06-13,East South Central,2063.0,2061.0,1680.7142857142858,1395.0,1943.0,1527.0
1297,2020-06-14,East South Central,2073.0,2063.0,1795.7142857142858,2061.0,1395.0,1268.0
1306,2020-06-15,East South Central,1870.0,2073.0,1823.5714285714287,2063.0,2061.0,1675.0
1315,2020-06-16,East South Central,1845.0,1870.0,1892.857142857143,2073.0,2063.0,1360.0
1324,2020-06-17,East South Central,1368.0,1845.0,1810.7142857142858,1870.0,2073.0,1943.0
1333,2020-06-18,East South Central,1782.0,1368.0,1866.0,1845.0,1870.0,1395.0
1342,2020-06-19,East South Central,2241.0,1782.0,1891.7142857142858,1368.0,1845.0,2061.0
1351,2020-06-20,East South Central,1152.0,2241.0,1761.5714285714287,1782.0,1368.0,2063.0
1360,2020-06-21,East South Central,1248.0,1152.0,1643.7142857142858,2241.0,1782.0,2073.0
1369,2020-06-22,East South Central,2619.0,1248.0,1750.7142857142858,1152.0,2241.0,1870.0
1378,2020-06-23,East South Central,2306.0,2619.0,1816.5714285714287,1248.0,1152.0,1845.0
1387,2020-06-24,East South Central,2647.0,2306.0,1999.2857142857142,2619.0,1248.0,1368.0
1396,2020-06-25,East South Central,3287.0,2647.0,2214.285714285714,2306.0,2619.0,1782.0
1405,2020-06-26,East South Central,3179.0,3287.0,2348.285714285714,2647.0,2306.0,2241.0
1414,2020-06-27,East South Central,2093.0,3179.0,2482.714285714286,3287.0,2647.0,1152.0
1423,2020-06-28,East South Central,1092.0,2093.0,2460.4285714285716,3179.0,3287.0,1248.0
1432,2020-06-29,East South Central,4649.0,1092.0,2750.4285714285716,2093.0,3179.0,2619.0
1441,2020-06-30,East South Central,3039.0,4649.0,2855.1428571428573,1092.0,2093.0,2306.0
1450,2020-07-01,East South Central,3594.0,3039.0,2990.4285714285716,4649.0,1092.0,2647.0
1459,2020-07-02,East South Central,3831.0,3594.0,3068.1428571428573,3039.0,4649.0,3287.0
1468,2020-07-03,East South Central,3873.0,3831.0,3167.285714285714,3594.0,3039.0,3179.0
1477,2020-07-04,East South Central,4329.0,3873.0,3486.714285714286,3831.0,3594.0,2093.0
1486,2020-07-05,East South Central,2608.0,4329.0,3703.285714285714,3873.0,3831.0,1092.0
1495,2020-07-06,East South Central,2782.0,2608.0,3436.5714285714284,4329.0,3873.0,4649.0
1504,2020-07-07,East South Central,3590.0,2782.0,3515.285714285714,2608.0,4329.0,3039.0
1513,2020-07-08,East South Central,4723.0,3590.0,3676.5714285714284,2782.0,2608.0,3594.0
1522,2020-07-09,East South Central,4846.0,4723.0,3821.5714285714284,3590.0,2782.0,3831.0
1531,2020-07-10,East South Central,4745.0,4846.0,3946.1428571428573,4723.0,3590.0,3873.0
1540,2020-07-11,East South Central,4147.0,4745.0,3920.1428571428573,4846.0,4723.0,4329.0
1549,2020-07-12,East South Central,3730.0,4147.0,4080.4285714285716,4745.0,4846.0,2608.0
1558,2020-07-13,East South Central,5929.0,3730.0,4530.0,4147.0,4745.0,2782.0
1567,2020-07-14,East South Central,4656.0,5929.0,4682.285714285715,3730.0,4147.0,3590.0
1576,2020-07-15,East South Central,5564.0,4656.0,4802.428571428572,5929.0,3730.0,4723.0
1585,2020-07-16,East South Central,6136.0,5564.0,4986.714285714285,4656.0,5929.0,4846.0
1594,2020-07-17,East South Central,5836.0,6136.0,5142.571428571428,5564.0,4656.0,4745.0
1603,2020-07-18,East South Central,6256.0,5836.0,5443.857142857143,6136.0,5564.0,4147.0
1612,2020-07-19,East South Central,5325.0,6256.0,5671.714285714285,5836.0,6136.0,3730.0
1621,2020-07-20,East South Central,5023.0,5325.0,5542.285714285715,6256.0,5836.0,5929.0
1630,2020-07-21,East South Central,5938.0,5023.0,5725.428571428572,5325.0,6256.0,4656.0
1639,2020-07-22,East South Central,5955.0,5938.0,5781.285714285715,5023.0,5325.0,5564.0
1648,2020-07-23,East South Central,6558.0,5955.0,5841.571428571428,5938.0,5023.0,6136.0
1657,2020-07-24,East South Central,6278.0,6558.0,5904.714285714285,5955.0,5938.0,5836.0
1666,2020-07-25,East South Central,6110.0,6278.0,5883.857142857143,6558.0,5955.0,6256.0
1675,2020-07-26,East South Central,5826.0,6110.0,5955.428571428572,6278.0,6558.0,5325.0
1684,2020-07-27,East South Central,5549.0,5826.0,6030.571428571428,6110.0,6278.0,5023.0
1693,2020-07-28,East South Central,5673.0,5549.0,5992.714285714285,5826.0,6110.0,5938.0
1702,2020-07-29,East South Central,5300.0,5673.0,5899.142857142857,5549.0,5826.0,5955.0
1711,2020-07-30,East South Central,6463.0,5300.0,5885.571428571428,5673.0,5549.0,6558.0
1720,2020-07-31,East South Central,6982.0,6463.0,5986.142857142857,5300.0,5673.0,6278.0
1729,2020-08-01,East South Central,5557.0,6982.0,5907.142857142857,6463.0,5300.0,6110.0
1738,2020-08-02,East South Central,4672.0,5557.0,5742.285714285715,6982.0,6463.0,5826.0
1747,2020-08-03,East South Central,3121.0,4672.0,5395.428571428572,5557.0,6982.0,5549.0
1756,2020-08-04,East South Central,4609.0,3121.0,5243.428571428572,4672.0,5557.0,5673.0
1765,2020-08-05,East South Central,4398.0,4609.0,5114.571428571428,3121.0,4672.0,5300.0
1774,2020-08-06,East South Central,5659.0,4398.0,4999.714285714285,4609.0,3121.0,6463.0
1783,2020-08-07,East South Central,5719.0,5659.0,4819.285714285715,4398.0,4609.0,6982.0
1792,2020-08-08,East South Central,3881.0,5719.0,4579.857142857143,5659.0,4398.0,5557.0
1801,2020-08-09,East South Central,6005.0,3881.0,4770.285714285715,5719.0,5659.0,4672.0
1810,2020-08-10,East South Central,3636.0,6005.0,4843.857142857143,3881.0,5719.0,3121.0
1819,2020-08-11,East South Central,3015.0,3636.0,4616.142857142857,6005.0,3881.0,4609.0
1828,2020-08-12,East South Central,4646.0,3015.0,4651.571428571428,3636.0,6005.0,4398.0
1837,2020-08-13,East South Central,4242.0,4646.0,4449.142857142857,3015.0,3636.0,5659.0
1846,2020-08-14,East South Central,4255.0,4242.0,4240.0,4646.0,3015.0,5719.0
1855,2020-08-15,East South Central,4017.0,4255.0,4259.428571428572,4242.0,4646.0,3881.0
1864,2020-08-16,East South Central,3580.0,4017.0,3913.0,4255.0,4242.0,6005.0
1873,2020-08-17,East South Central,2259.0,3580.0,3716.285714285714,4017.0,4255.0,3636.0
1882,2020-08-18,East South Central,3794.0,2259.0,3827.5714285714284,3580.0,4017.0,3015.0
1891,2020-08-19,East South Central,5114.0,3794.0,3894.4285714285716,2259.0,3580.0,4646.0
1900,2020-08-20,East South Central,3940.0,5114.0,3851.285714285714,3794.0,2259.0,4242.0
1909,2020-08-21,East South Central,3503.0,3940.0,3743.8571428571427,5114.0,3794.0,4255.0
1918,2020-08-22,East South Central,3946.0,3503.0,3733.714285714286,3940.0,5114.0,4017.0
1927,2020-08-23,East South Central,4272.0,3946.0,3832.5714285714284,3503.0,3940.0,3580.0
1936,2020-08-24,East South Central,3198.0,4272.0,3966.714285714286,3946.0,3503.0,2259.0
1945,2020-08-25,East South Central,2815.0,3198.0,3826.8571428571427,4272.0,3946.0,3794.0
1954,2020-08-26,East South Central,5514.0,2815.0,3884.0,3198.0,4272.0,5114.0
1963,2020-08-27,East South Central,4928.0,5514.0,4025.1428571428573,2815.0,3198.0,3940.0
1972,2020-08-28,East South Central,4176.0,4928.0,4121.285714285715,5514.0,2815.0,3503.0
1981,2020-08-29,East South Central,4724.0,4176.0,4232.428571428572,4928.0,5514.0,3946.0
1990,2020-08-30,East South Central,3283.0,4724.0,4091.1428571428573,4176.0,4928.0,4272.0
1999,2020-08-31,East South Central,3279.0,3283.0,4102.714285714285,4724.0,4176.0,3198.0
2008,2020-09-01,East South Central,4377.0,3279.0,4325.857142857143,3283.0,4724.0,2815.0
2017,2020-09-02,East South Central,3712.0,4377.0,4068.4285714285716,3279.0,3283.0,5514.0
2026,2020-09-03,East South Central,4406.0,3712.0,3993.8571428571427,4377.0,3279.0,4928.0
2035,2020-09-04,East South Central,3774.0,4406.0,3936.4285714285716,3712.0,4377.0,4176.0
2044,2020-09-05,East South Central,4501.0,3774.0,3904.5714285714284,4406.0,3712.0,4724.0
2053,2020-09-06,East South Central,2995.0,4501.0,3863.4285714285716,3774.0,4406.0,3283.0
2062,2020-09-07,East South Central,2174.0,2995.0,3705.5714285714284,4501.0,3774.0,3279.0
2071,2020-09-08,East South Central,1782.0,2174.0,3334.8571428571427,2995.0,4501.0,4377.0
2080,2020-09-09,East South Central,2728.0,1782.0,3194.285714285714,2174.0,2995.0,3712.0
2089,2020-09-10,East South Central,4110.0,2728.0,3152.0,1782.0,2174.0,4406.0
2098,2020-09-11,East South Central,4545.0,4110.0,3262.1428571428573,2728.0,1782.0,3774.0
2107,2020-09-12,East South Central,3131.0,4545.0,3066.4285714285716,4110.0,2728.0,4501.0
2116,2020-09-13,East South Central,2826.0,3131.0,3042.285714285714,4545.0,4110.0,2995.0
2125,2020-09-14,East South Central,3635.0,2826.0,3251.0,3131.0,4545.0,2174.0
2134,2020-09-15,East South Central,2881.0,3635.0,3408.0,2826.0,3131.0,1782.0
2143,2020-09-16,East South Central,4258.0,2881.0,3626.5714285714284,3635.0,2826.0,2728.0
2152,2020-09-17,East South Central,3030.0,4258.0,3472.285714285714,2881.0,3635.0,4110.0
2161,2020-09-18,East South Central,4221.0,3030.0,3426.0,4258.0,2881.0,4545.0
2170,2020-09-19,East South Central,4373.0,4221.0,3603.4285714285716,3030.0,4258.0,3131.0
2179,2020-09-20,East South Central,3586.0,4373.0,3712.0,4221.0,3030.0,2826.0
2188,2020-09-21,East South Central,2280.0,3586.0,3518.4285714285716,4373.0,4221.0,3635.0
2197,2020-09-22,East South Central,2822.0,2280.0,3510.0,3586.0,4373.0,2881.0
2206,2020-09-23,East South Central,3468.0,2822.0,3397.1428571428573,2280.0,3586.0,4258.0
2215,2020-09-24,East South Central,3266.0,3468.0,3430.8571428571427,2822.0,2280.0,3030.0
2224,2020-09-25,East South Central,5992.0,3266.0,3683.8571428571427,3468.0,2822.0,4221.0
2233,2020-09-26,East South Central,3985.0,5992.0,3628.4285714285716,3266.0,3468.0,4373.0
2242,2020-09-27,East South Central,3471.0,3985.0,3612.0,5992.0,3266.0,3586.0
2251,2020-09-28,East South Central,2037.0,3471.0,3577.285714285714,3985.0,5992.0,2280.0
2260,2020-09-29,East South Central,2956.0,2037.0,3596.4285714285716,3471.0,3985.0,2822.0
2269,2020-09-30,East South Central,4211.0,2956.0,3702.5714285714284,2037.0,3471.0,3468.0
2278,2020-10-01,East South Central,3920.0,4211.0,3796.0,2956.0,2037.0,3266.0
2287,2020-10-02,East South Central,3596.0,3920.0,3453.714285714286,4211.0,2956.0,5992.0
2296,2020-10-03,East South Central,4757.0,3596.0,3564.0,3920.0,4211.0,3985.0
